date,month,desc,figure,balance,category
2020-05-04,05," NETONNET AB, VÄXJÖ",-539,25556.73,alcohol
2020-05-04,05," NETONNET AB, VÄXJÖ",-200,26095.73,alcohol
2020-04-30,04," VAXJO OAS CAFE, VAXJO",-98,26295.73,alcohol
2020-04-30,04," PRESSBYRÅN 4025376, VÄXJÖ",-70,26393.73,alcohol
2020-04-30,04," kontaktlös LIDL 131/VEXJO OSTERLEDEN, VEXJO",-41.7,26463.73,alcohol
2020-04-30,04," BURGER KING AVD, VÄXJÖ",-87,26505.43,alcohol
2020-04-30,04,Autogiro CA ARABYBOST,-9012,26592.43,alcohol
2020-04-30,04,Överföring 9159 8807910,-500,35604.43,food
2020-04-28,04," ICA SUPERMARKET DALBO, VAXJO",-222.87,36104.43,alcohol
2020-04-28,04,Swish till PALA SHEWEISH,-190,36327.3,alcohol
2020-04-28,04,Autogiro MEDLEY AB,-70,36517.3,alcohol
2020-04-27,04," WEBHALLEN.COM, INTERNET",-5761,36587.3,alcohol
2020-04-27,04," BUUKS.SE, BROENDBY",-129,42348.3,alcohol
2020-04-27,04," NETONNET AB, BORAS",-2539,42477.3,alcohol
2020-04-27,04,Autogiro PLAN INTERN,-250,45016.3,alcohol
2020-04-27,04,LÖN,36021.14,45266.3,alcohol
2020-04-27,04," Elgiganten.se, Kistad",-2995,9245.16,alcohol
2020-04-25,04," ICA SUPERMARKET DALBO, VAXJO",-73.9,12240.16,alcohol
2020-04-25,04," MEDIA MARKT E-HANDEL, STOCKSUND",-777,12314.06,alcohol
2020-04-25,04," PRESSBYRÅN 4025376, VÄXJÖ",-82.82,13091.06,alcohol
2020-04-24,04,Swish till LINN WINBERG,-55,13173.88,alcohol
2020-04-23,04," CYKELGEAR.SE, TERNDRUP",-1482,13228.88,alcohol
2020-04-21,04," CYKEL & FRITIDSCENTER, VÄXJÖ",-1327,14710.88,alcohol
2020-04-21,04," kontaktlös MAX I VEXJO, VEXJO",-156,16037.88,alcohol
